日期,地区,价格,数量,均重
2014-01-05,海南,6.04,3.42,3.24
2014-01-05,湖北,5.98,9.87,3.34
2014-01-05,湖南,5.69,8.78,3.39
2014-01-05,福建,6.02,5.72,3.05
2014-01-05,贵州,5.32,4.39,4.43
2014-01-05,重庆,5.89,1.72,4.14
2014-01-06,云南,6.19,3.46,4.17
2014-01-06,四川,5.85,11.29,4.57
2014-01-06,安徽,5.73,7.17,3.83
2014-01-06,山东,5.8,2.43,3.79
2014-01-06,广东,5.39,69.48,3.45
2014-01-06,广西,6.02,23.57,3.95
2014-01-06,江苏,5.67,19.75,3.55
2014-01-06,江西,5.67,4.83,3.42
2014-01-06,浙江,5.38,16.59,3.18
2014-01-06,海南,6.55,3.05,3.24
2014-01-06,湖北,5.79,11.49,3.33
2014-01-06,湖南,5.33,11,3.36
2014-01-06,福建,5.95,5.15,3.13
2014-01-06,贵州,5.14,4.88,4.35
2014-01-06,重庆,6.06,2.46,4.23
2014-01-07,云南,6.08,4.15,4.44
2014-01-07,四川,5.99,9.47,4.69
2014-01-07,安徽,5.54,9.52,3.61
2014-01-07,山东,5.62,3.27,4.14
2014-01-07,广东,4.99,71.55,3.44
2014-01-07,广西,5.76,20.94,3.86
2014-01-07,江苏,5.6,18.8,3.53
2014-01-07,江西,5.2,6.67,3.24
2014-01-07,浙江,5.3,15.62,3.22
2014-01-07,海南,6.28,2.33,3.32
2014-01-07,湖北,5.77,12.34,3.32
2014-01-07,湖南,5.19,9.95,3.49
2014-01-07,福建,5.58,5.04,3.22
2014-01-07,贵州,5.57,5.64,4.48
2014-01-07,重庆,6.03,3.21,4.4
2014-01-08,云南,5.86,4.48,4.52
2014-01-08,四川,5.93,9.36,4.72
2014-01-08,安徽,5.37,7.74,3.55
2014-01-08,山东,5.37,2.91,3.69
2014-01-08,广东,4.42,81.79,3.51
2014-01-08,广西,5.6,18.41,3.89
2014-01-08,江苏,5.24,16.86,3.56
2014-01-08,江西,5.21,3.76,3.17
2014-01-08,浙江,5,12.7,3.2
2014-01-08,海南,5.9,2.36,3.28
2014-01-08,湖北,5.64,10.71,3.34
2014-01-08,湖南,4.8,10.09,3.46
2014-01-08,福建,5.19,7.19,3.26
2014-01-08,贵州,5.46,4.29,4.41
2014-01-08,重庆,5.9,3.79,4.39
2014-01-09,云南,5.94,5.01,4.37
2014-01-09,四川,5.72,8.29,4.53
2014-01-09,安徽,4.8,10.09,3.68
2014-01-09,山东,5.55,3.98,3.94
2014-01-09,广东,3.84,111,3.51
2014-01-09,广西,5.38,20.76,3.85
2014-01-09,江苏,4.52,27.94,3.34
2014-01-09,江西,4.86,7.69,3.28
2014-01-09,浙江,4.23,20.84,3.28
2014-01-09,海南,5.78,3.08,3.25
2014-01-09,湖北,5.2,11.37,3.33
2014-01-09,湖南,4.66,11.99,3.49
2014-01-09,福建,5.06,5.29,3.15
2014-01-09,贵州,5.48,4.5,4.38
2014-01-09,重庆,5.84,2.92,4.3
2014-01-10,云南,6.1,5.45,4.37
2014-01-10,四川,5.87,11.19,4.49
2014-01-10,安徽,3.99,18.11,3.57
2014-01-10,山东,5.4,3.21,4.07
2014-01-10,广东,3.79,125.43,3.4
2014-01-10,广西,5.24,22.54,3.88
2014-01-10,江苏,4.16,36.43,3.3
2014-01-10,江西,4.19,8.3,3.13
2014-01-10,浙江,3.89,27.05,3.23
2014-01-10,海南,4.85,5.22,3.27
2014-01-10,湖北,4.32,17.09,3.3
2014-01-10,湖南,3.72,20.47,3.46
2014-01-10,福建,4.77,7.51,3.28
2014-01-10,贵州,5.75,3.52,4.4
2014-01-10,重庆,5.78,4.07,4.37
2014-01-11,云南,5.81,5.62,4.39
2014-01-11,四川,5.66,9.58,4.37
2014-01-11,安徽,3.63,25.72,3.46
2014-01-11,山东,4.74,4.44,3.75
2014-01-11,广东,3.95,141.31,3.39
2014-01-11,广西,5.08,25.62,3.83
2014-01-11,江苏,3.86,47.92,3.38
2014-01-11,江西,3.77,10.03,3.23
2014-01-11,浙江,3.85,26.9,3.19
2014-01-11,海南,4.87,6.28,3.31
2014-01-11,湖北,3.69,27.66,3.17
2014-01-11,湖南,3.35,25.39,3.41
2014-01-11,福建,4.25,7.8,3.07
2014-01-11,贵州,5.58,5.57,4.48
2014-01-11,重庆,5.66,4.12,4.39
2014-01-12,云南,5.83,6.92,4.35
2014-01-12,四川,5.73,11.61,4.55
2014-01-12,安徽,3.88,25.46,3.6
2014-01-12,山东,4.79,5.76,3.73
2014-01-12,广东,3.98,108.19,3.41
2014-01-12,广西,4.96,23.39,3.85
2014-01-12,江苏,4.07,34.89,3.29
2014-01-12,江西,3.54,12.01,3.17
2014-01-12,浙江,3.63,32.27,3.15
2014-01-12,海南,4.78,5.89,3.25
2014-01-12,湖北,3.86,27.61,3.2
2014-01-12,湖南,3.39,24.97,3.31
2014-01-12,福建,4.2,9.17,3.16
2014-01-12,贵州,5.74,2.91,4.02
2014-01-12,重庆,5.77,3.7,4.51
2014-01-13,云南,5.87,4.53,4.22
2014-01-13,四川,5.73,8.27,4.56
2014-01-13,安徽,4.26,23.66,3.42
2014-01-13,山东,5.14,4.11,4.04
2014-01-13,广东,3.94,109.91,3.42
2014-01-13,广西,5.01,25.11,3.78
2014-01-13,江苏,4.73,28.27,3.35
2014-01-13,江西,3.78,12.34,3.2
2014-01-13,浙江,3.8,36.52,2.98
2014-01-13,海南,4.8,5.48,3.28
2014-01-13,湖北,4.09,21.36,3.18
2014-01-13,湖南,3.66,24.52,3.3
2014-01-13,福建,4.16,8.61,3.24
2014-01-13,贵州,5.58,2.79,4.2
2014-01-13,重庆,5.79,3.24,4.37
2014-01-14,云南,6.09,3.88,4.19
2014-01-14,四川,5.43,11.89,4.63
2014-01-14,安徽,5.21,9.43,3.67
2014-01-14,山东,5.64,2.62,4.17
2014-01-14,广东,3.72,108.83,3.33
2014-01-14,广西,5.1,23.24,3.81
2014-01-14,江苏,5.23,17.23,3.41
2014-01-14,江西,4.2,11.47,3.29
2014-01-14,浙江,4.55,21.17,3.13
2014-01-14,海南,4.73,4.78,3.28
2014-01-14,湖北,4.79,19.54,3.31
2014-01-14,湖南,3.97,21.5,3.32
2014-01-14,福建,3.96,10.91,3.12
2014-01-14,贵州,5.16,4.96,4.2
2014-01-14,重庆,5.31,2.71,4.34
2014-01-15,云南,6.01,4.12,4.4
2014-01-15,四川,5.19,9.94,4.59
2014-01-15,安徽,5.27,4.71,3.61
2014-01-15,山东,5.42,3.54,4.23
2014-01-15,广东,3.46,116.09,3.35
2014-01-15,广西,5.06,26.83,3.87
2014-01-15,江苏,4.35,39.01,3.07
2014-01-15,江西,4.67,9.63,3.25
2014-01-15,浙江,4.64,14.22,3.23
2014-01-15,海南,4.87,5.31,3.23
2014-01-15,湖北,4.93,14.78,3.28
2014-01-15,湖南,4.4,16.78,3.34
2014-01-15,福建,4.03,9.5,2.94
2014-01-15,贵州,5.32,3.69,4.14
2014-01-15,重庆,5.07,3.98,4.14
2014-01-16,云南,6.02,3.94,4.33
2014-01-16,四川,5.17,13.45,4.58
2014-01-16,安徽,4.37,17.27,3.48
2014-01-16,山东,5.46,3.36,3.82
2014-01-16,广东,3.29,120.14,3.3
2014-01-16,广西,4.89,23.92,3.89
2014-01-16,江苏,4.03,48.97,2.79
2014-01-16,江西,4.7,10.17,3.12
2014-01-16,浙江,3.95,18.94,3.16
2014-01-16,海南,4.46,6.41,3.21
2014-01-16,湖北,4.87,16.21,3.21
2014-01-16,湖南,4.2,15.2,3.32
2014-01-16,福建,4.46,5.41,3.27
2014-01-16,贵州,5.26,3.56,4.29
2014-01-16,重庆,5.07,5.33,4.57
2014-01-17,云南,6.11,4.16,4.18
2014-01-17,四川,4.99,10.61,4.42
2014-01-17,安徽,4.02,26.12,3.49
2014-01-17,山东,5.4,3.45,3.95
2014-01-17,广东,3.45,106.05,3.29
2014-01-17,广西,5.05,25.14,3.89
2014-01-17,江苏,4.11,39.19,3.19
2014-01-17,江西,4.86,9.44,3.19
2014-01-17,浙江,3.6,33.83,2.85
2014-01-17,海南,4.44,5.31,3.18
2014-01-17,湖北,4.5,18.41,3.06
2014-01-17,湖南,4.29,15.64,3.36
2014-01-17,福建,3.96,6,3.14
2014-01-17,贵州,5.39,2.95,4.42
2014-01-17,重庆,4.96,3.98,4.5
2014-01-18,云南,5.99,4.17,4.23
2014-01-18,四川,5.09,15.04,4.64
2014-01-18,安徽,4.23,28.38,3.58
2014-01-18,山东,5.43,4.12,3.84
2014-01-18,广东,3.7,97.26,3.25
2014-01-18,广西,5.05,29.06,3.77
2014-01-18,江苏,4.23,36.71,3.22
2014-01-18,江西,4.49,10.26,3.09
2014-01-18,浙江,3.8,31.12,2.96
2014-01-18,海南,4.46,5.27,3.15
2014-01-18,湖北,4.41,21.49,3.08
2014-01-18,湖南,4.18,14.29,3.29
2014-01-18,福建,4.03,6.72,3.22
2014-01-18,贵州,5.34,5.14,4.21
2014-01-18,重庆,4.89,5.46,4.29
2014-01-19,云南,5.75,5.28,4.29
2014-01-19,四川,5.05,14.52,4.54
2014-01-19,安徽,4.59,16.34,3.5
2014-01-19,山东,5.61,4.7,3.88
2014-01-19,广东,4.27,75.49,3.23
2014-01-19,广西,5.06,24.96,3.76
2014-01-19,江苏,4.77,25.35,3.25
2014-01-19,江西,4.61,9.48,3.08
2014-01-19,浙江,3.99,25.53,3.21
2014-01-19,海南,4.79,5.06,3.07
2014-01-19,湖北,4.7,18.19,3.09
2014-01-19,湖南,4.31,17.39,3.24
2014-01-19,福建,3.98,6.63,3.16
2014-01-19,贵州,5.2,4.76,4.24
2014-01-19,重庆,5.23,4.55,4.41
2014-01-20,云南,5.89,6.82,4.23
2014-01-20,四川,5.3,13.89,4.49
2014-01-20,安徽,5.26,11.52,3.57
2014-01-20,山东,5.65,3.43,3.72
2014-01-20,广东,4.68,66.43,3.27
2014-01-20,广西,5.14,26.34,3.72
2014-01-20,江苏,5.38,19.51,3.5
2014-01-20,江西,5.3,8.92,3.1
2014-01-20,浙江,4.38,20.32,3.02
2014-01-20,海南,5.12,5.47,2.92
2014-01-20,湖北,5.4,12.95,3.11
2014-01-20,湖南,5,15.13,3.29
2014-01-20,福建,4.51,7.69,3.23
2014-01-20,贵州,5.22,5.51,4.2
2014-01-20,重庆,5.3,4.2,4.39
2014-01-21,云南,5.93,4.3,4.15
2014-01-21,四川,5.81,12.04,4.5
2014-01-21,安徽,5.59,10.59,3.51
2014-01-21,山东,5.71,4.57,4.31
2014-01-21,广东,5.38,59.3,3.22
2014-01-21,广西,5.51,30.03,3.8
2014-01-21,江苏,5.74,16.05,3.48
2014-01-21,江西,5.56,6.35,3.18
2014-01-21,浙江,4.86,16.72,3.16
2014-01-21,海南,5.7,4.76,2.97
2014-01-21,湖北,5.98,13.3,3.14
2014-01-21,湖南,6.06,10.28,3.25
2014-01-21,福建,5.32,7.63,3.21
2014-01-21,贵州,5.6,5.63,4.28
2014-01-21,重庆,5.74,3.81,4.43
2014-01-22,云南,5.86,4.28,4.16
2014-01-22,四川,5.83,10.95,4.55
2014-01-22,安徽,5.46,8.52,3.43
2014-01-22,山东,5.85,2,4
2014-01-22,广东,5.66,43.67,3.26
2014-01-22,广西,6.09,25.22,3.73
2014-01-22,江苏,5.61,20.54,3.45
2014-01-22,江西,6.17,6.66,3.01
2014-01-22,浙江,4.6,23.64,3.11
2014-01-22,海南,6.05,3.63,2.95
2014-01-22,湖北,6.14,13.53,3.14
2014-01-22,湖南,6.28,9,3.29
2014-01-22,福建,6.02,5.58,3.16
2014-01-22,贵州,5.79,4.64,4.19
2014-01-22,重庆,6.18,4.48,4.37
2014-01-23,云南,6.43,4.41,4.08
2014-01-23,四川,6.29,9.94,4.46
2014-01-23,安徽,5.01,13.52,3.54
2014-01-23,山东,6.01,4.15,4.2
2014-01-23,广东,5.76,41.86,3.28
2014-01-23,广西,6.44,16.83,3.72
2014-01-23,江苏,5.27,22.66,3.54
2014-01-23,江西,6.07,7.62,3.21
2014-01-23,浙江,4.69,12.36,3.06
2014-01-23,海南,6.1,2.99,2.95
2014-01-23,湖北,6.23,11.9,3.09
2014-01-23,湖南,6.04,9.83,3.29
2014-01-23,福建,5.55,4.16,3.15
2014-01-23,贵州,6.57,3.42,4.08
2014-01-23,重庆,6.38,3.68,3.94
2014-01-24,云南,6.65,6.35,4.1
2014-01-24,四川,6.3,9.68,4.61
2014-01-24,安徽,4.54,22.05,3.6
2014-01-24,山东,6.08,3.72,3.93
2014-01-24,广东,5.77,41.91,3.35
2014-01-24,广西,6.34,23.68,3.76
2014-01-24,江苏,4.25,45.54,3.32
2014-01-24,江西,5.77,6.28,3.32
2014-01-24,浙江,3.47,18.65,2.88
2014-01-24,海南,6.39,1.83,2.78
2014-01-24,湖北,5.71,15.81,3.07
2014-01-24,湖南,5.93,10.94,3.22
2014-01-24,福建,5.13,3.47,3.03
2014-01-24,贵州,6.5,4.05,3.93
2014-01-24,重庆,6.41,3.88,4.13
2014-01-25,云南,7.12,3.78,4.19
2014-01-25,四川,6.22,12.21,4.4
2014-01-25,安徽,4.25,23.44,3.64
2014-01-25,山东,5.73,4,4
2014-01-25,广东,5.54,50.39,3.36
2014-01-25,广西,6.49,26.06,3.82
2014-01-25,江苏,3.85,49.59,3.13
2014-01-25,江西,5.24,7.52,3.12
2014-01-25,浙江,3.96,14.59,3.12
2014-01-25,海南,6.58,1.53,2.71
2014-01-25,湖北,5.62,15.69,3.06
2014-01-25,湖南,5.62,15.01,3.3
2014-01-25,福建,4.65,6.24,3
2014-01-25,贵州,6.53,5.66,4.05
2014-01-25,重庆,6.36,3.83,3.86
2014-01-26,云南,7.02,2.71,4.18
2014-01-26,四川,6.42,13.7,4.56
2014-01-26,安徽,4.49,16.32,3.54
2014-01-26,山东,5.24,6.18,3.85
2014-01-26,广东,5.19,63.87,3.28
2014-01-26,广西,6.34,22.96,3.77
2014-01-26,江苏,4.21,35.82,3.1
2014-01-26,江西,5.21,9.79,3.23
2014-01-26,浙江,3.73,19.5,3.2
2014-01-26,海南,6.07,2.06,2.84
2014-01-26,湖北,5.49,17.89,3.13
2014-01-26,湖南,5.23,15.12,3.17
2014-01-26,福建,4.38,8.18,2.97
2014-01-26,贵州,6.65,4.5,4.27
2014-01-26,重庆,6.66,4.08,4.01
2014-01-27,云南,6.84,4.18,4.13
2014-01-27,四川,6.54,12.9,4.59
2014-01-27,安徽,5.13,9.17,3.61
2014-01-27,山东,5.68,1.93,3.85
2014-01-27,广东,4.83,57.42,3.32
2014-01-27,广西,6.21,24.46,3.79
2014-01-27,江苏,4.73,22.54,3.22
2014-01-27,江西,4.92,7.65,3.27
2014-01-27,浙江,3.86,20.93,3.21
2014-01-27,海南,6.61,2.19,2.95
2014-01-27,湖北,5.19,12.87,3.03
2014-01-27,湖南,5.39,10.61,3.17
2014-01-27,福建,4.36,6.35,3.03
2014-01-27,贵州,6.77,4.96,4.04
2014-01-27,重庆,6.55,4.52,4.04
2014-01-28,云南,6.77,3.75,4.55
2014-01-28,四川,6.48,9.07,4.52
2014-01-28,安徽,5.53,2.13,3.31
2014-01-28,广东,4.42,56.77,3.29
2014-01-28,广西,5.9,16.26,3.82
2014-01-28,江苏,4.89,7.31,3.09
2014-01-28,江西,4.62,5.43,3.3
2014-01-28,浙江,3.87,14.8,3.03
2014-01-28,海南,6.16,2.14,3.12
2014-01-28,湖北,5,5.77,2.93
2014-01-28,湖南,5.62,3.61,3.22
2014-01-28,福建,4.06,6.63,2.99
2014-01-28,贵州,6.62,3.92,4
2014-01-28,重庆,6.51,4.24,4.1
2014-01-29,云南,6.95,2.56,4.32
2014-01-29,四川,6.11,5.08,4.17
2014-01-29,广东,4.33,50.75,3.26
2014-01-29,广西,6.05,8.03,3.67
2014-01-29,江苏,5.99,0.11,3.78
2014-01-29,江西,4.27,2.22,2.9
2014-01-29,浙江,4.04,3.86,3
2014-01-29,海南,5.83,2.57,3.04
2014-01-29,湖南,5.46,0.21,3.09
2014-01-29,福建,3.86,2.4,2.94
2014-01-29,贵州,6.44,1.7,3.97
2014-01-29,重庆,6.54,3.8,4.11
2014-01-30,广东,4.02,12.75,3.26
2014-01-30,浙江,3.78,0.56,2.78
2014-01-30,海南,5.97,0.53,2.95
2014-01-30,贵州,6.1,0.28,4.52
2014-02-01,广东,3.92,6.76,3.58
2014-02-01,江苏,5.69,1.21,3.22
2014-02-01,浙江,4.08,1.18,3.34
2014-02-02,四川,6.25,9.62,4.44
2014-02-02,安徽,5.73,1.41,3.4
2014-02-02,山东,4.9,0.43,3.34
2014-02-02,广东,3.84,49.38,3.35
2014-02-02,广西,6.23,3.03,3.94
2014-02-02,江苏,5.47,8.92,3.2
2014-02-02,江西,4.73,6.97,3.08
2014-02-02,浙江,4.14,9.63,3.13
2014-02-02,湖北,5.61,8.11,3.06
2014-02-02,湖南,5.27,9.59,3.36
2014-02-02,福建,3.92,6.41,3.22
2014-02-02,重庆,6.45,3.59,3.87
2014-02-03,云南,6.71,3.23,4.52
2014-02-03,四川,6.09,10.34,4.38
2014-02-03,安徽,5.39,4.11,3.3
2014-02-03,山东,4.82,0.51,3.42
2014-02-03,广东,3.63,66.5,3.38
2014-02-03,广西,6.19,14.74,3.87
2014-02-03,江苏,5.36,10.1,3.19
2014-02-03,江西,4.72,6.28,3.19
2014-02-03,浙江,4.14,11.61,3.1
2014-02-03,湖北,5.43,6.29,3.15
2014-02-03,湖南,4.9,7.7,3.44
2014-02-03,福建,3.59,4.81,3.24
2014-02-03,贵州,6.37,4.41,4.13
2014-02-03,重庆,6.52,2.58,4.18
2014-02-04,云南,6.74,3.09,4.41
2014-02-04,四川,6.05,11.58,4.49
2014-02-04,安徽,5.16,7.75,3.46
2014-02-04,山东,5.32,0.54,3.73
2014-02-04,广东,3.44,81.74,3.44
2014-02-04,广西,5.43,12.18,3.88
2014-02-04,江苏,5.09,12.15,3.32
2014-02-04,江西,4.48,8.68,3.21
2014-02-04,浙江,3.82,16.86,3.08
2014-02-04,海南,6.23,1.32,3.09
2014-02-04,湖北,5.07,12.05,3.18
2014-02-04,湖南,4.71,10.04,3.46
2014-02-04,福建,3.28,7.58,3.2
2014-02-04,贵州,6.55,4.35,4.18
2014-02-04,重庆,6.49,3.48,3.94
2014-02-05,云南,6.53,3.33,4.41
2014-02-05,四川,6.04,13.74,4.5
2014-02-05,安徽,5.1,6.11,3.57
2014-02-05,山东,5.13,1.09,3.65
2014-02-05,广东,3.43,82.93,3.44
2014-02-05,广西,5.1,17.09,3.87
2014-02-05,江苏,5.09,9.12,3.42
2014-02-05,江西,4.31,8.9,3.21
2014-02-05,浙江,3.54,20.62,3.2
2014-02-05,海南,5.85,1.93,3.15
2014-02-05,湖北,5.16,10.75,3.15
2014-02-05,湖南,4.37,7.57,3.35
2014-02-05,福建,3.18,11,3.3
2014-02-05,贵州,6.29,3.46,4
2014-02-05,重庆,6.44,3.27,4.1
2014-02-06,云南,6.77,2.53,4.18
2014-02-06,四川,6.06,8.98,4.49
2014-02-06,安徽,5.09,3.22,3.51
2014-02-06,山东,5.31,1.33,4.06
2014-02-06,广东,3.47,59.53,3.41
2014-02-06,广西,4.92,17.27,3.83
2014-02-06,江苏,4.91,7.77,3.48
2014-02-06,江西,4.1,7.63,3.27
2014-02-06,浙江,3.73,8.22,3.34
2014-02-06,海南,5.61,1.01,3.09
2014-02-06,湖北,4.55,11.64,3.1
2014-02-06,湖南,3.57,10.33,3.5
2014-02-06,福建,3.79,6.56,3.12
2014-02-06,贵州,6.35,2.74,3.92
2014-02-06,重庆,6.42,2.95,4.35
2014-02-07,云南,6.72,3.14,4.41
2014-02-07,四川,6.09,8.93,4.65
2014-02-07,安徽,4.78,4.36,3.69
2014-02-07,山东,5.67,0.05,4.07
2014-02-07,广东,3.41,63.6,3.46
2014-02-07,广西,4.82,16.67,3.91
2014-02-07,江苏,4.67,8.21,3.57
2014-02-07,江西,3.85,6.98,3.21
2014-02-07,浙江,3.49,12.48,2.84
2014-02-07,海南,5.27,2.42,3.29
2014-02-07,湖北,3.99,8.99,3.1
2014-02-07,湖南,3.39,10.66,3.33
2014-02-07,福建,3.61,4.11,3.23
2014-02-07,贵州,6.44,2.82,3.86
2014-02-07,重庆,6.32,2.58,4.24
2014-02-08,云南,6.4,3.37,4.44
2014-02-08,四川,6.11,9.04,4.73
2014-02-08,安徽,4.35,5.01,3.75
2014-02-08,山东,4.84,2.67,3.97
2014-02-08,广东,3.34,73.53,3.48
2014-02-08,广西,4.47,16.83,3.89
2014-02-08,江苏,4.26,9.73,3.45
2014-02-08,江西,3.56,5.4,3.18
2014-02-08,浙江,3.45,7.58,3
2014-02-08,海南,5.27,3.57,3.34
2014-02-08,湖北,3.67,15.29,2.97
2014-02-08,湖南,3.31,10.78,3.41
2014-02-08,福建,3.32,3.82,3.04
2014-02-08,贵州,6.47,3.24,3.89
2014-02-08,重庆,6.08,3.76,4.29
2014-02-09,云南,6.23,2.2,4.45
2014-02-09,四川,5.97,8.46,4.77
2014-02-09,安徽,4.11,5.04,3.66
2014-02-09,山东,4.61,3.15,3.62
2014-02-09,广东,2.98,77.55,3.42
2014-02-09,广西,4.24,21.64,3.97
2014-02-09,江苏,3.74,16.24,3.56
2014-02-09,江西,3.49,5.41,3.2
2014-02-09,浙江,3.15,16.18,3
2014-02-09,海南,5.17,3.2,3.28
2014-02-09,湖北,3.71,15.7,3.04
2014-02-09,湖南,3.15,10.7,3.35
2014-02-09,福建,3.25,4.24,3.01
2014-02-09,贵州,6.28,2.37,4.22
2014-02-09,重庆,6.07,2.66,4.46
2014-02-10,云南,6.14,2.02,4.14
2014-02-10,四川,5.73,10.94,4.69
2014-02-10,安徽,3.64,8.22,3.9
2014-02-10,山东,4.41,2.82,3.86
2014-02-10,广东,2.88,71.42,3.44
2014-02-10,广西,4.13,17.21,3.98
2014-02-10,江苏,3.65,18.8,3.48
2014-02-10,江西,3.39,4.39,3.22
2014-02-10,浙江,3.08,10.19,2.68
2014-02-10,海南,5.17,3.18,3.38
2014-02-10,湖北,3.58,14.81,3.13
2014-02-10,湖南,3.05,12.56,3.35
2014-02-10,福建,3.77,3.14,3.5
2014-02-10,贵州,5.81,3.26,4.22
2014-02-10,重庆,5.86,2.78,4.37
2014-02-11,云南,6.15,3.01,4.32
2014-02-11,四川,5.81,6.48,4.88
2014-02-11,安徽,3.28,10.13,3.92
2014-02-11,山东,4.06,3.92,4.2
2014-02-11,广东,2.81,84.05,3.4
2014-02-11,广西,3.93,22.34,3.93
2014-02-11,江苏,3.51,18.97,3.42
2014-02-11,江西,2.93,6.48,3.02
2014-02-11,浙江,3.29,7.42,3.42
2014-02-11,海南,5.09,3.3,3.33
2014-02-11,湖北,3.52,13.59,3
2014-02-11,湖南,3.04,10.97,3.35
2014-02-11,福建,3.57,4.1,3.43
2014-02-11,贵州,5.76,3.42,4.29
2014-02-11,重庆,5.84,1.76,4.52
2014-02-12,云南,6.13,2.38,4.33
2014-02-12,四川,5.38,9.14,4.72
2014-02-12,安徽,3.04,19.13,3.22
2014-02-12,山东,3.85,3.88,3.42
2014-02-12,广东,2.92,84.68,3.4
2014-02-12,广西,3.83,23.84,3.98
2014-02-12,江苏,3.39,25.17,3.34
2014-02-12,江西,2.79,8.31,3.05
2014-02-12,浙江,3.22,10.26,3.16
2014-02-12,海南,5.1,2.79,3.22
2014-02-12,湖北,3.5,16.17,3.07
2014-02-12,湖南,3.01,15.06,3.44
2014-02-12,福建,3.3,4.81,3.18
2014-02-12,贵州,5.69,1.52,4.59
2014-02-12,重庆,5.51,2.57,4.31
2014-02-13,云南,5.88,3.86,4.51
2014-02-13,四川,4.89,10.24,4.72
2014-02-13,安徽,3.04,17.56,3.53
2014-02-13,山东,3.77,4.33,4.43
2014-02-13,广东,2.88,72.55,3.25
2014-02-13,广西,3.82,25.88,3.86
2014-02-13,江苏,3.3,26.17,3.23
2014-02-13,江西,2.86,8.4,3.21
2014-02-13,浙江,2.79,17.31,2.46
2014-02-13,海南,4.72,4.26,3.4
2014-02-13,湖北,3.55,10.86,3.13
2014-02-13,湖南,3.01,11.6,3.51
2014-02-13,福建,3.34,5.01,3.18
2014-02-13,贵州,5.63,2.52,4.25
2014-02-13,重庆,5.32,3.63,4.31
2014-02-14,云南,5.48,3.93,4.57
2014-02-14,四川,4.7,9.39,4.75
2014-02-14,安徽,2.97,20.53,3.51
2014-02-14,山东,3.63,4.78,4.44
2014-02-14,广东,2.71,79.07,3.16
2014-02-14,广西,3.86,16.63,3.93
2014-02-14,江苏,3.23,27.75,3.34
2014-02-14,江西,2.61,13,2.79
2014-02-14,浙江,2.71,34.68,2.98
